brand,offset_s,peak,verdict,video_dur,audio_dur,onset_s,source,status
NOMAD-0001,5.016,0.924,confirmed,262.3,257.253,20.85,measured,active
NOMAD-0002,5.016,0.787,confirmed,174.8,169.77,0.2,measured,active
NOMAD-0003,5.052,0.536,confirmed,208.133,203.04,4.65,measured,active
NOMAD-0004,5.016,0.843,confirmed,226.2,221.153,4.35,measured,active
NOMAD-0005,5.016,0.901,confirmed,247.804,242.782,2.8,measured,active
NOMAD-0006,5.016,0.759,confirmed,229.181,224.157,17.95,measured,active
NOMAD-0007,5.016,0.862,confirmed,197.533,192.522,1.6,measured,active
NOMAD-0008,5.016,0.757,confirmed,208.771,203.736,6.3,measured,active
NOMAD-0009,5.016,0.699,confirmed,201.016,196.008,10.5,measured,active
NOMAD-0010,5.016,0.773,confirmed,203.407,198.408,6.2,measured,active
NOMAD-0011,5.016,0.829,confirmed,142.067,137.038,0.4,measured,active
NOMAD-0012,5.016,0.841,confirmed,214.367,209.345,16.4,measured,active
NOMAD-0013,5.016,0.821,confirmed,182.045,177.032,5.15,measured,active
NOMAD-0014,5.016,0.727,confirmed,304.067,299.05,9.8,measured,active
NOMAD-0015,5.016,0.801,confirmed,216.209,211.173,2.1,measured,active
NOMAD-0016,5.016,0.85,confirmed,222.935,217.896,18.75,measured,active
NOMAD-0017,5.016,0.8,confirmed,161.077,156.048,1.85,measured,active
NOMAD-0018,5.016,0.859,confirmed,162.935,157.91,1.6,measured,active
NOMAD-0019,5.016,0.715,confirmed,195.867,190.824,7.65,measured,active
NOMAD-0020,5.016,0.859,confirmed,93.786,88.776,19.3,measured,active
NOMAD-0021,5.016,0.746,confirmed,177.169,172.147,0.5,measured,active
NOMAD-0022,5.016,0.787,confirmed,201.016,196.008,6.2,measured,active
NOMAD-0023,5.016,0.789,confirmed,234.167,229.146,1.65,measured,active
NOMAD-0024,5.016,0.863,confirmed,206.867,201.864,14.95,measured,active
NOMAD-0025,5.016,0.828,confirmed,235.172,230.16,13.3,measured,active
NOMAD-0026,5.016,0.716,confirmed,217.177,212.167,0.15,measured,active
NOMAD-0027,5.016,0.87,confirmed,141.067,136.046,1.15,measured,active
NOMAD-0028,5.016,0.762,confirmed,180.967,175.944,3.6,measured,active
NOMAD-0029,5.016,0.797,confirmed,212.4,207.386,0.3,measured,active
NOMAD-0030,5.016,0.826,confirmed,188.3,183.275,0.25,measured,active
NOMAD-0031,5.016,0.521,confirmed,202.1,197.064,11.55,measured,active
NOMAD-0032,5.016,0.817,confirmed,221.054,216.033,0.1,measured,active
NOMAD-0033,5.016,0.756,confirmed,119.072,114.051,1.3,measured,active
NOMAD-0034,5.016,0.888,confirmed,87.075,82.051,1.6,measured,active
NOMAD-0035,5.016,0.872,confirmed,219.067,214.047,13.35,measured,active
NOMAD-0036,5.016,0.82,confirmed,202.571,197.52,2.15,measured,active
NOMAD-0037,5.016,0.841,confirmed,142.067,137.038,0.2,measured,active
NOMAD-0038,5.016,0.638,confirmed,216.467,211.387,1.2,measured,active
NOMAD-0039,5.016,0.782,confirmed,159.22,154.201,0.3,measured,active
NOMAD-0040,5.016,0.808,confirmed,212.974,207.961,18.95,measured,active
NOMAD-0041,5.016,0.819,confirmed,184.333,179.304,12.45,measured,active
NOMAD-0042,5.016,0.901,confirmed,227.0,221.962,7.1,measured,active
NOMAD-0043,5.366,0.899,confirmed,244.924,239.304,28.25,measured,active
NOMAD-0044,5.016,0.902,confirmed,243.733,238.707,12.45,measured,active
NOMAD-0045,5.016,0.917,confirmed,311.967,306.939,1.6,measured,active
NOMAD-0046,5.016,0.837,confirmed,229.739,224.758,10.25,measured,active
NOMAD-0047,5.016,0.872,confirmed,223.733,218.697,8.7,measured,active
NOMAD-0048,5.016,0.864,confirmed,185.767,180.741,0.85,measured,active
NOMAD-0049,5.016,0.902,confirmed,219.067,214.073,3.25,measured,active
NOMAD-0050,5.016,0.832,confirmed,213.833,208.849,27.05,measured,active
NOMAD-0051,5.016,0.909,confirmed,224.839,219.82,20.2,measured,active
NOMAD-0052,5.016,0.897,confirmed,240.768,235.781,0.7,measured,active
NOMAD-0053,5.016,0.797,confirmed,149.9,144.901,11.95,measured,active
NOMAD-0054,5.016,0.897,confirmed,261.3,256.313,17.25,measured,active
NOMAD-0055,5.016,0.873,confirmed,237.5,232.49,9.5,measured,active
NOMAD-0056,5.016,0.813,confirmed,177.067,172.069,8.75,measured,active
NOMAD-0057,5.016,0.823,confirmed,353.7,348.709,1.55,measured,active
NOMAD-0058,5.016,0.835,confirmed,251.705,246.7,9.45,measured,active
NOMAD-0059,5.016,0.834,confirmed,272.51,267.494,4.4,measured,active
NOMAD-0060,5.016,0.934,confirmed,204.867,199.863,15.2,measured,active
NOMAD-0061,5.016,0.877,confirmed,295.067,290.038,0.25,measured,active
NOMAD-0062,5.016,0.958,confirmed,300.977,295.993,31.25,measured,active
