brand,offset_s,peak,verdict,video_dur,audio_dur,onset_s,source,status
NOMAD-1474,8.015,0.858,confirmed,253.664,239.68,0.75,measured,active
NOMAD-0315,5.739,0.337,confirmed,153.77,152.173,18.65,measured,active
NOMAD-1165,8.059,0.952,confirmed,247.385,234.227,1.15,measured,active
NOMAD-1116,8.063,0.913,confirmed,278.197,264.92,0.0,measured,active
NOMAD-0834,5.068,0.134,needs-review,302.949,292.807,3.6,measured,active
NOMAD-1177,8.059,0.968,confirmed,199.193,186.027,1.15,measured,active
NOMAD-0456,10.031,0.844,confirmed,273.191,263.133,0.4,measured,active
NOMAD-1176,8.059,0.826,confirmed,190.468,177.321,0.55,measured,active
NOMAD-1360,8.015,0.95,confirmed,178.464,164.321,0.0,measured,active
NOMAD-0431,5.194,0.596,confirmed,221.774,212.898,5.75,measured,active
NOMAD-1348,8.015,0.872,confirmed,217.864,204.8,1.95,measured,active
NOMAD-0167,8.72,0.707,needs-review,270.9,262.098,0.25,measured,active
NOMAD-0452,10.031,0.833,confirmed,227.262,217.223,22.85,measured,active
NOMAD-1481,8.015,0.896,confirmed,269.664,255.507,0.3,measured,active
NOMAD-1166,8.059,0.512,confirmed,228.292,215.133,0.25,measured,active
NOMAD-1419,8.015,0.77,confirmed,221.331,207.413,0.45,measured,active
NOMAD-1102,19.897,0.015,needs-review,274.18,262.541,4.9,measured,active
NOMAD-1287,8.015,0.774,confirmed,208.231,194.421,0.05,measured,active
NOMAD-1390,8.015,0.695,confirmed,193.997,180.975,0.6,measured,active
NOMAD-1431,8.015,0.753,confirmed,241.771,228.761,1.7,measured,active
NOMAD-1346,8.015,0.477,confirmed,44.331,30.772,0.15,measured,active
NOMAD-1434,8.015,0.855,confirmed,254.197,240.236,0.55,measured,active
NOMAD-1326,8.015,0.701,confirmed,287.868,274.861,0.7,measured,active
NOMAD-1468,8.015,0.791,confirmed,223.697,210.463,1.65,measured,active
NOMAD-1180,8.059,0.907,confirmed,216.409,203.267,0.55,measured,active
NOMAD-0240,5.103,0.8,confirmed,163.383,158.279,2.65,measured,active
NOMAD-1278,8.015,0.833,confirmed,240.218,227.187,0.35,measured,active
NOMAD-1351,8.015,0.595,confirmed,232.564,219.361,0.8,measured,active
NOMAD-1362,8.015,0.917,confirmed,143.797,130.0,2.0,measured,active
NOMAD-0453,10.031,0.883,confirmed,283.686,273.627,5.95,measured,active
NOMAD-1268,8.015,0.77,confirmed,123.331,109.401,2.3,measured,active
NOMAD-1442,8.015,0.889,confirmed,130.131,115.8,1.75,measured,active
NOMAD-1459,8.015,0.808,confirmed,224.564,210.933,0.15,measured,active
NOMAD-1095,14.644,0.027,needs-review,186.501,174.78,13.9,measured,active
NOMAD-1336,8.015,0.877,confirmed,248.364,234.483,2.7,measured,active
NOMAD-1181,8.059,0.76,confirmed,371.439,357.74,1.95,measured,active
NOMAD-1440,8.015,0.968,confirmed,331.664,317.617,3.6,measured,active
NOMAD-0455,10.031,0.689,confirmed,287.494,277.455,15.0,measured,active
NOMAD-0043,5.366,0.899,confirmed,244.924,239.304,28.25,measured,active
NOMAD-1301,8.015,0.916,confirmed,254.697,241.159,0.1,measured,active
NOMAD-1376,8.015,0.866,confirmed,193.997,180.281,0.4,measured,active
NOMAD-0454,10.031,0.838,confirmed,124.63,114.579,17.1,measured,active
NOMAD-1300,8.015,0.82,confirmed,208.331,194.477,2.05,measured,active
NOMAD-0923,5.063,0.287,needs-review,130.889,120.667,12.15,measured,active
NOMAD-0580,16.349,0.899,needs-review,437.533,419.029,61.2,measured,active
NOMAD-1118,8.063,0.957,confirmed,307.663,294.107,0.1,measured,active
