brand_code,artist,title,tier,method,chosen_ext,n_audio,n_candidates,note,chosen_path,alt_candidates
NOMAD-0001,This Is Me Smiling,Prettier,HIGH,name-match,mp3,8,4,,NOMAD-0001 - This Is Me Smiling - Prettier/This Is Me Smiling - Prettier.mp3,NOMAD-0001 - This Is Me Smiling - Prettier/03 - Prettier.flac ;; NOMAD-0001 - This Is Me Smiling - Prettier/03 - Prettier.mp3 ;; NOMAD-0001 - This Is Me Smiling - Prettier/03 - Prettier - Instrumental.mp3
NOMAD-0002,Ленинград,Алкаш,HIGH,name-match,mp3,6,2,,NOMAD-0002 - Ленинград - Алкаш/Ленинград - Алкаш.mp3,NOMAD-0002 - Ленинград - Алкаш/leningrad-alkash.mp3
NOMAD-0003,Cher,Apples Don't Fall Far From The Tree,HIGH,name-match,mp3,4,2,,NOMAD-0003 - Cher - Apples Don't Fall Far From The Tree/Cher - Apples Don't Fall Far From The Tree.mp3,NOMAD-0003 - Cher - Apples Don't Fall Far From The Tree/Y2Mate.is - Apples Don't Fall Far From The Tree-wXrnVxl9UXI-160k-1654621859063.mp3
NOMAD-0004,The Hush Sound,Don't Wake Me Up,MED,leftover-only,mp3,2,1,,NOMAD-0004 - The Hush Sound - Don't Wake Me Up/06 Don't Wake Me Up.mp3,
NOMAD-0005,ABBA,I Am The City,MED,leftover-only,mp3,2,1,,NOMAD-0005 - ABBA - I Am The City/16 - I Am The City.mp3,
NOMAD-0006,ABBA,Under Attack,MED,leftover-only,mp3,3,1,,NOMAD-0006 - ABBA - Under Attack/18 - Under Attack.mp3,
NOMAD-0007,The Hush Sound,A Dark Congregation,HIGH,name-match,mp3,3,2,,NOMAD-0007 - The Hush Sound - A Dark Congregation/The Hush Sound - A Dark Congregation.mp3,NOMAD-0007 - The Hush Sound - A Dark Congregation/02 A Dark Congregation.mp3
NOMAD-0008,The Hush Sound,As You Cry,HIGH,name-match,mp3,3,2,,NOMAD-0008 - The Hush Sound - As You Cry/The Hush Sound - As You Cry.mp3,NOMAD-0008 - The Hush Sound - As You Cry/06 As You Cry.mp3
NOMAD-0009,The Hush Sound,Boys Are Too Refined,HIGH,name-match,mp3,3,2,,NOMAD-0009 - The Hush Sound - Boys Are Too Refined/The Hush Sound - Boys Are Too Refined.mp3,NOMAD-0009 - The Hush Sound - Boys Are Too Refined/04 Boys Are Too Refined.mp3
NOMAD-0010,The Hush Sound,Break the Sky,HIGH,name-match,mp3,3,2,,NOMAD-0010 - The Hush Sound - Break the Sky/The Hush Sound - Break the Sky.mp3,NOMAD-0010 - The Hush Sound - Break the Sky/13 Break the Sky.mp3
NOMAD-0011,The Hush Sound,Carry Me Home,HIGH,name-match,mp3,3,2,,NOMAD-0011 - The Hush Sound - Carry Me Home/The Hush Sound - Carry Me Home.mp3,NOMAD-0011 - The Hush Sound - Carry Me Home/12 Carry Me Home.mp3
NOMAD-0012,The Hush Sound,City Traffic Puzzle,HIGH,name-match,mp3,3,2,,NOMAD-0012 - The Hush Sound - City Traffic Puzzle/The Hush Sound - City Traffic Puzzle.mp3,NOMAD-0012 - The Hush Sound - City Traffic Puzzle/01 City Traffic Puzzle.mp3
NOMAD-0013,The Hush Sound,Crawling Towards The Sun,HIGH,name-match,mp3,3,2,,NOMAD-0013 - The Hush Sound - Crawling Towards The Sun/The Hush Sound - Crawling Towards The Sun.mp3,NOMAD-0013 - The Hush Sound - Crawling Towards The Sun/03 Crawling Towards The Sun.mp3
NOMAD-0014,The Hush Sound,Echo,HIGH,name-match,mp3,3,2,,NOMAD-0014 - The Hush Sound - Echo/The Hush Sound - Echo.mp3,NOMAD-0014 - The Hush Sound - Echo/08 Echo.mp3
NOMAD-0015,The Hush Sound,Eileen,HIGH,youtube,wav,14,4,,NOMAD-0015 - The Hush Sound - Eileen/The Hush Sound - Eileen (Youtube LS1tUNy5ulQ).wav,NOMAD-0015 - The Hush Sound - Eileen/The Hush Sound - Eileen (Youtube LS1tUNy5ulQ).webm ;; NOMAD-0015 - The Hush Sound - Eileen/The Hush Sound - Eileen.mp3 ;; NOMAD-0015 - The Hush Sound - Eileen/Old-Inconsistent-Workflow-Files/13 Eileen.mp3
NOMAD-0016,The Hush Sound,Honey,HIGH,name-match,mp3,3,2,,NOMAD-0016 - The Hush Sound - Honey/The Hush Sound - Honey.mp3,NOMAD-0016 - The Hush Sound - Honey/02 Honey.mp3
NOMAD-0017,The Hush Sound,Hospital Bed Crawl,HIGH,name-match,mp3,3,2,,NOMAD-0017 - The Hush Sound - Hospital Bed Crawl/The Hush Sound - Hospital Bed Crawl.mp3,NOMAD-0017 - The Hush Sound - Hospital Bed Crawl/12 Hospital Bed Crawl.mp3
NOMAD-0018,The Hush Sound,Hourglass,HIGH,name-match,mp3,3,2,,NOMAD-0018 - The Hush Sound - Hourglass/The Hush Sound - Hourglass.mp3,NOMAD-0018 - The Hush Sound - Hourglass/07 Hourglass.mp3
NOMAD-0019,The Hush Sound,Hurricane,HIGH,name-match,mp3,3,2,,NOMAD-0019 - The Hush Sound - Hurricane/The Hush Sound - Hurricane.mp3,NOMAD-0019 - The Hush Sound - Hurricane/05 Hurricane.mp3
NOMAD-0020,The Hush Sound,Intro,HIGH,name-match,mp3,3,2,,NOMAD-0020 - The Hush Sound - Intro/The Hush Sound - Intro.mp3,NOMAD-0020 - The Hush Sound - Intro/01 Intro.mp3
NOMAD-0021,The Hush Sound,Lions Roar,MED,leftover-only,mp3,2,1,,NOMAD-0021 - The Hush Sound - Lions Roar/04 Lions Roar.mp3,
NOMAD-0022,The Hush Sound,Love You Much Better,HIGH,name-match,mp3,3,2,,NOMAD-0022 - The Hush Sound - Love You Much Better/The Hush Sound - Love You Much Better.mp3,NOMAD-0022 - The Hush Sound - Love You Much Better/11 Love You Much Better.mp3
NOMAD-0023,The Hush Sound,Magnolia,HIGH,name-match,mp3,3,2,,NOMAD-0023 - The Hush Sound - Magnolia/The Hush Sound - Magnolia.mp3,NOMAD-0023 - The Hush Sound - Magnolia/08 Magnolia.mp3
NOMAD-0024,The Hush Sound,Medicine Man,HIGH,name-match,mp3,3,2,,NOMAD-0024 - The Hush Sound - Medicine Man/The Hush Sound - Medicine Man.mp3,NOMAD-0024 - The Hush Sound - Medicine Man/03 Medicine Man.mp3
NOMAD-0025,The Hush Sound,Molasses,HIGH,name-match,mp3,3,2,,NOMAD-0025 - The Hush Sound - Molasses/The Hush Sound - Molasses.mp3,NOMAD-0025 - The Hush Sound - Molasses/08 Molasses.mp3
NOMAD-0026,The Hush Sound,Momentum,HIGH,name-match,mp3,3,2,,NOMAD-0026 - The Hush Sound - Momentum/The Hush Sound - Momentum.mp3,NOMAD-0026 - The Hush Sound - Momentum/06 Momentum.mp3
NOMAD-0027,The Hush Sound,My Apologies,HIGH,name-match,mp3,3,2,,NOMAD-0027 - The Hush Sound - My Apologies/The Hush Sound - My Apologies.mp3,NOMAD-0027 - The Hush Sound - My Apologies/09 My Apologies.mp3
