brand,folder,verdict,confidence,winner_name,winner_ext,winner_rel,winner_db,runnerup_db,margin_db,n_candidates,approved
NOMAD-0001,NOMAD-0001 - This Is Me Smiling - Prettier,confirmed,low,03 - Prettier.flac,flac,NOMAD-0001 - This Is Me Smiling - Prettier/03 - Prettier.flac,-21.8,-21.8,0.0,4,
NOMAD-0002,NOMAD-0002 - Ленинград - Алкаш,confirmed,high,leningrad-alkash.mp3,mp3,NOMAD-0002 - Ленинград - Алкаш/leningrad-alkash.mp3,-18.4,-33.8,15.4,2,
NOMAD-0003,NOMAD-0003 - Cher - Apples Don't Fall Far From The Tree,confirmed,high,Y2Mate.is - Apples Don't Fall Far From The Tree-wXrnVxl9UXI-160k-1654621859063.mp3,mp3,NOMAD-0003 - Cher - Apples Don't Fall Far From The Tree/Y2Mate.is - Apples Don't Fall Far From The Tree-wXrnVxl9UXI-160k-1654621859063.mp3,-23.3,-60.9,37.6,2,
NOMAD-0004,NOMAD-0004 - The Hush Sound - Don't Wake Me Up,confirmed,low,06 Don't Wake Me Up.mp3,mp3,NOMAD-0004 - The Hush Sound - Don't Wake Me Up/06 Don't Wake Me Up.mp3,-21.6,,,1,
NOMAD-0005,NOMAD-0005 - ABBA - I Am The City,confirmed,low,16 - I Am The City.mp3,mp3,NOMAD-0005 - ABBA - I Am The City/16 - I Am The City.mp3,-28.2,,,1,
NOMAD-0006,NOMAD-0006 - ABBA - Under Attack,confirmed,low,18 - Under Attack.mp3,mp3,NOMAD-0006 - ABBA - Under Attack/18 - Under Attack.mp3,-28.9,,,1,
NOMAD-0007,NOMAD-0007 - The Hush Sound - A Dark Congregation,confirmed,high,02 A Dark Congregation.mp3,mp3,NOMAD-0007 - The Hush Sound - A Dark Congregation/02 A Dark Congregation.mp3,-20.5,-64.4,43.9,2,
NOMAD-0008,NOMAD-0008 - The Hush Sound - As You Cry,confirmed,high,06 As You Cry.mp3,mp3,NOMAD-0008 - The Hush Sound - As You Cry/06 As You Cry.mp3,-24.8,-66.2,41.4,2,
NOMAD-0009,NOMAD-0009 - The Hush Sound - Boys Are Too Refined,confirmed,high,04 Boys Are Too Refined.mp3,mp3,NOMAD-0009 - The Hush Sound - Boys Are Too Refined/04 Boys Are Too Refined.mp3,-24.2,-80.3,56.1,2,
NOMAD-0010,NOMAD-0010 - The Hush Sound - Break the Sky,confirmed,high,13 Break the Sky.mp3,mp3,NOMAD-0010 - The Hush Sound - Break the Sky/13 Break the Sky.mp3,-25.9,-46.1,20.2,2,
NOMAD-0011,NOMAD-0011 - The Hush Sound - Carry Me Home,confirmed,high,12 Carry Me Home.mp3,mp3,NOMAD-0011 - The Hush Sound - Carry Me Home/12 Carry Me Home.mp3,-19.7,-91.0,71.3,2,
NOMAD-0012,NOMAD-0012 - The Hush Sound - City Traffic Puzzle,confirmed,high,01 City Traffic Puzzle.mp3,mp3,NOMAD-0012 - The Hush Sound - City Traffic Puzzle/01 City Traffic Puzzle.mp3,-19.9,-84.3,64.4,2,
NOMAD-0013,NOMAD-0013 - The Hush Sound - Crawling Towards The Sun,confirmed,high,03 Crawling Towards The Sun.mp3,mp3,NOMAD-0013 - The Hush Sound - Crawling Towards The Sun/03 Crawling Towards The Sun.mp3,-21.9,-68.2,46.3,2,
NOMAD-0014,NOMAD-0014 - The Hush Sound - Echo,confirmed,high,08 Echo.mp3,mp3,NOMAD-0014 - The Hush Sound - Echo/08 Echo.mp3,-26.0,-75.8,49.8,2,
NOMAD-0016,NOMAD-0016 - The Hush Sound - Honey,confirmed,high,02 Honey.mp3,mp3,NOMAD-0016 - The Hush Sound - Honey/02 Honey.mp3,-25.1,-53.8,28.7,2,
NOMAD-0017,NOMAD-0017 - The Hush Sound - Hospital Bed Crawl,confirmed,high,12 Hospital Bed Crawl.mp3,mp3,NOMAD-0017 - The Hush Sound - Hospital Bed Crawl/12 Hospital Bed Crawl.mp3,-26.3,-46.5,20.2,2,
NOMAD-0018,NOMAD-0018 - The Hush Sound - Hourglass,confirmed,high,07 Hourglass.mp3,mp3,NOMAD-0018 - The Hush Sound - Hourglass/07 Hourglass.mp3,-22.4,-79.2,56.8,2,
NOMAD-0019,NOMAD-0019 - The Hush Sound - Hurricane,confirmed,high,05 Hurricane.mp3,mp3,NOMAD-0019 - The Hush Sound - Hurricane/05 Hurricane.mp3,-27.9,-35.5,7.6,2,
NOMAD-0020,NOMAD-0020 - The Hush Sound - Intro,confirmed,high,01 Intro.mp3,mp3,NOMAD-0020 - The Hush Sound - Intro/01 Intro.mp3,-32.4,-51.8,19.4,2,
NOMAD-0021,NOMAD-0021 - The Hush Sound - Lions Roar,confirmed,low,04 Lions Roar.mp3,mp3,NOMAD-0021 - The Hush Sound - Lions Roar/04 Lions Roar.mp3,-22.1,,,1,
NOMAD-0022,NOMAD-0022 - The Hush Sound - Love You Much Better,confirmed,high,11 Love You Much Better.mp3,mp3,NOMAD-0022 - The Hush Sound - Love You Much Better/11 Love You Much Better.mp3,-24.8,-51.4,26.6,2,
NOMAD-0023,NOMAD-0023 - The Hush Sound - Magnolia,confirmed,high,08 Magnolia.mp3,mp3,NOMAD-0023 - The Hush Sound - Magnolia/08 Magnolia.mp3,-19.9,-46.7,26.8,2,
NOMAD-0024,NOMAD-0024 - The Hush Sound - Medicine Man,confirmed,high,03 Medicine Man.mp3,mp3,NOMAD-0024 - The Hush Sound - Medicine Man/03 Medicine Man.mp3,-26.0,-73.9,47.9,2,
NOMAD-0025,NOMAD-0025 - The Hush Sound - Molasses,confirmed,high,08 Molasses.mp3,mp3,NOMAD-0025 - The Hush Sound - Molasses/08 Molasses.mp3,-24.8,-50.7,25.9,2,
NOMAD-0026,NOMAD-0026 - The Hush Sound - Momentum,confirmed,high,06 Momentum.mp3,mp3,NOMAD-0026 - The Hush Sound - Momentum/06 Momentum.mp3,-24.1,-90.3,66.2,2,
NOMAD-0027,NOMAD-0027 - The Hush Sound - My Apologies,confirmed,high,09 My Apologies.mp3,mp3,NOMAD-0027 - The Hush Sound - My Apologies/09 My Apologies.mp3,-24.8,-74.5,49.7,2,
NOMAD-0028,NOMAD-0028 - The Hush Sound - Not Your Concern,confirmed,high,10 Not Your Concern.mp3,mp3,NOMAD-0028 - The Hush Sound - Not Your Concern/10 Not Your Concern.mp3,-24.9,-51.1,26.2,2,
NOMAD-0029,NOMAD-0029 - The Hush Sound - Out Through The Curtain,confirmed,high,10 Out Through The Curtain.mp3,mp3,NOMAD-0029 - The Hush Sound - Out Through The Curtain/10 Out Through The Curtain.mp3,-22.0,-44.1,22.1,2,
NOMAD-0030,NOMAD-0030 - The Hush Sound - Sweet Tangerine,confirmed,low,03 Sweet Tangerine.mp3,mp3,NOMAD-0030 - The Hush Sound - Sweet Tangerine/03 Sweet Tangerine.mp3,-17.7,,,1,
NOMAD-0031,NOMAD-0031 - The Hush Sound - That's Okay,confirmed,high,09 That's Okay.mp3,mp3,NOMAD-0031 - The Hush Sound - That's Okay/09 That's Okay.mp3,-26.1,-81.9,55.8,2,
