brand	action	value	note
NOMAD-0120	set_winner	01 - In Medias Res.mp3	pick was vocals-only; 01- is the mixed original (user)
NOMAD-0437	approve_pick	5exJ2-ra7hU-Rock-on-Rockall.wav	confirmed mixed full song (user)
NOMAD-0231	approve_pick	Die Draugänger - Cordula Grün_Short.wav	confirmed mixed (user)
NOMAD-0231	set_winner_rel	NOMAD-0231 - Die Draufgänger - Cordula Grün (Short Version)/die-draufganger-cordula-grun-youtube-Xw-g6X8qob0/Xw-g6X8qob0-Die-Draufganger-CORDULA-GRUN-Josh-Cover-offizielles-Video.wav	CORRECTION: _Short.wav is instrumental+backing-vocals; this youtube file is the full mix (user)
NOMAD-0227	approve_pick	8zWPROdFK4Q-Help-Yourself.wav	confirmed mixed full song (user)
NOMAD-0448	approve_pick	The Time - Cool.wav	confirmed mixed full song (user)
NOMAD-0332	approve_pick	xL1MecA2zUg-Je-serai-la.wav	confirmed mixed full song (user)
NOMAD-0036	confirm_no_source		both files instrumental, no full mix (user)
NOMAD-0036	source_via_flacfetch	The Hush Sound / We Intertwined	downloaded by user into fix-orig-audio-gaps
NOMAD-0038	confirm_no_source_sourcing	The Hush Sound / Where We Went Wrong	no full mix in folder; sourcing original via flacfetch
NOMAD-0078	confirm_no_source_sourcing	Mew / 156	no full mix in folder; sourcing original via flacfetch
NOMAD-0201	confirm_no_source_sourcing	Calum Scott / Dancing On My Own (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0202	confirm_no_source_sourcing	Ed Sheeran / Shivers (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0203	confirm_no_source_sourcing	Eminem / Without Me (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0208	confirm_no_source_sourcing	Lady Gaga / Born This Way (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0209	confirm_no_source_sourcing	Miley Cyrus / Jolene (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0210	confirm_no_source_sourcing	Miley Cyrus / Wrecking Ball (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0211	confirm_no_source_sourcing	Robbie Williams / Angels (Short Version)	no full mix in folder; sourcing original via flacfetch
NOMAD-0213	confirm_no_source_sourcing	Shania Twain / Man! I Feel Like A Woman (Short Version)	no full mix in folder; sourcing original via flacfetch
