brand,mode,verdict,orig_s,voc_s,delta_s,src,dest
NOMAD-0004,fresh,ok,221.11,221.10,,NOMAD-0004 - The Hush Sound - Don't Wake Me Up.mp3,NOMAD-0004 - The Hush Sound - Don't Wake Me Up.flac
NOMAD-0001,reuse,ok,257.25,257.25,,03 - Prettier (Filtered Vocals) (MDX v2.1-inst 496).flac,NOMAD-0001 - This Is Me Smiling - Prettier.flac
NOMAD-0002,reuse,ok,169.72,169.72,,leningrad-alkash (Filtered Vocals) (MDX v2.1-inst 496).mp3,NOMAD-0002 - Ленинград - Алкаш.mp3
NOMAD-0003,reuse,ok,203.01,203.06,,Apples Don't Fall Far From The Tree (Filtered Vocals) (MDX v2.1-inst 496).mp3,NOMAD-0003 - Cher - Apples Don't Fall Far From The Tree.mp3
NOMAD-0005,fresh,ok,242.73,242.73,,NOMAD-0005 - ABBA - I Am The City.mp3,NOMAD-0005 - ABBA - I Am The City.flac
NOMAD-0006,reuse,ok,224.11,224.11,,1_18 - Under Attack_(Vocals).mp3,NOMAD-0006 - ABBA - Under Attack.mp3
NOMAD-0007,fresh,ok,192.48,192.48,,NOMAD-0007 - The Hush Sound - A Dark Congregation.mp3,NOMAD-0007 - The Hush Sound - A Dark Congregation.flac
NOMAD-0008,fresh,ok,203.71,203.70,,NOMAD-0008 - The Hush Sound - As You Cry.mp3,NOMAD-0008 - The Hush Sound - As You Cry.flac
NOMAD-0009,fresh,ok,195.96,195.96,,NOMAD-0009 - The Hush Sound - Boys Are Too Refined.mp3,NOMAD-0009 - The Hush Sound - Boys Are Too Refined.flac
NOMAD-0010,fresh,ok,198.37,198.37,,NOMAD-0010 - The Hush Sound - Break the Sky.mp3,NOMAD-0010 - The Hush Sound - Break the Sky.flac
NOMAD-0011,fresh,ok,137.00,136.99,,NOMAD-0011 - The Hush Sound - Carry Me Home.mp3,NOMAD-0011 - The Hush Sound - Carry Me Home.flac
NOMAD-0012,fresh,ok,209.29,209.28,,NOMAD-0012 - The Hush Sound - City Traffic Puzzle.mp3,NOMAD-0012 - The Hush Sound - City Traffic Puzzle.flac
