brand,winner_name,vocals_db,instrumental_db,flag
NOMAD-0002,leningrad-alkash.mp3,-18.4,-17.8,ok
NOMAD-0003,Y2Mate.is - Apples Don't Fall Far From The Tree-wXrnVxl9UXI-160k-1654621859063.mp3,-23.3,-24.1,ok
NOMAD-0004,06 Don't Wake Me Up.mp3,-21.6,-17.4,ok
NOMAD-0005,16 - I Am The City.mp3,-28.2,-22.8,ok
NOMAD-0006,18 - Under Attack.mp3,-28.9,-25.6,ok
NOMAD-0007,02 A Dark Congregation.mp3,-20.5,-14.0,ok
NOMAD-0008,06 As You Cry.mp3,-24.8,-20.3,ok
NOMAD-0009,04 Boys Are Too Refined.mp3,-24.2,-21.9,ok
NOMAD-0010,13 Break the Sky.mp3,-25.9,-20.9,ok
NOMAD-0011,12 Carry Me Home.mp3,-19.7,-15.8,ok
NOMAD-0012,01 City Traffic Puzzle.mp3,-19.9,-16.2,ok
NOMAD-0013,03 Crawling Towards The Sun.mp3,-21.9,-18.2,ok
NOMAD-0014,08 Echo.mp3,-26.0,-19.7,ok
NOMAD-0016,02 Honey.mp3,-25.1,-20.4,ok
NOMAD-0017,12 Hospital Bed Crawl.mp3,-26.3,-20.8,ok
NOMAD-0018,07 Hourglass.mp3,-22.4,-16.8,ok
NOMAD-0019,05 Hurricane.mp3,-27.9,-23.5,ok
NOMAD-0020,01 Intro.mp3,-32.4,-27.3,ok
NOMAD-0021,04 Lions Roar.mp3,-22.1,-17.2,ok
NOMAD-0022,11 Love You Much Better.mp3,-24.8,-20.3,ok
NOMAD-0023,08 Magnolia.mp3,-19.9,-15.6,ok
NOMAD-0024,03 Medicine Man.mp3,-26.0,-19.5,ok
NOMAD-0025,08 Molasses.mp3,-24.8,-20.0,ok
NOMAD-0026,06 Momentum.mp3,-24.1,-18.5,ok
NOMAD-0027,09 My Apologies.mp3,-24.8,-17.8,ok
NOMAD-0028,10 Not Your Concern.mp3,-24.9,-19.4,ok
NOMAD-0029,10 Out Through The Curtain.mp3,-22.0,-17.3,ok
