brand,source_video,out_file,codec,dur_s,status
NOMAD-0590,NOMAD-0590 - Thomas Borchert - I Know Those Eyes _ This Man Is Dead (Duet With Female Vocals)/Thomas Borchert - I Know Those Eyes _ This Man Is Dead (Duet With Female Vocals) (With Vocals).mp4,NOMAD-0590 - Thomas Borchert - I Know Those Eyes _ This Man Is Dead (Duet With Female Vocals).m4a,aac,192.6,ok
NOMAD-0804,NOMAD-0804 - Sarah McLachlan - Possession (Piano Version)/Sarah McLachlan - Possession (Piano Version) (With Vocals).mp4,NOMAD-0804 - Sarah McLachlan - Possession (Piano Version).m4a,aac,272.2,ok
NOMAD-0875,NOMAD-0875 - Silverstein - Forget Your Heart (Piano Version)/Silverstein - Forget Your Heart (Piano Version) (With Vocals).mp4,NOMAD-0875 - Silverstein - Forget Your Heart (Piano Version).m4a,aac,216.8,ok
NOMAD-1163,NOMAD-1163 - Port Isaacs Fishermans Friends - Lamorna (2018)/Port Isaacs Fishermans Friends - Lamorna (2018) (With Vocals).mp4,NOMAD-1163 - Port Isaacs Fishermans Friends - Lamorna (2018).m4a,aac,178.0,ok
NOMAD-1164,NOMAD-1164 - Attack Attack - The People's Elbow/Attack Attack - The People's Elbow (With Vocals).mkv,NOMAD-1164 - Attack Attack - The People's Elbow.flac,flac,157.0,ok
NOMAD-1187,NOMAD-1187 - Avril Lavigne - Nobody's Home/Avril Lavigne - Nobody's Home (With Vocals).mp4,NOMAD-1187 - Avril Lavigne - Nobody's Home.m4a,aac,212.6,ok
NOMAD-1188,NOMAD-1188 - Liz Callaway - The Story Goes On (Baby)/Liz Callaway - The Story Goes On (Baby) (With Vocals).mp4,NOMAD-1188 - Liz Callaway - The Story Goes On (Baby).m4a,aac,269.5,ok
NOMAD-1190,NOMAD-1190 - Minutemen - Search/Minutemen - Search (With Vocals).mp4,NOMAD-1190 - Minutemen - Search.m4a,aac,53.9,ok
NOMAD-1191,NOMAD-1191 - Eiffel 65 - Living in a Bubble/Eiffel 65 - Living in a Bubble (With Vocals).mp4,NOMAD-1191 - Eiffel 65 - Living in a Bubble.m4a,aac,305.4,ok
NOMAD-1194,NOMAD-1194 - Footloose (Broadway Cast) - I Can't Stand Still/Footloose (Broadway Cast) - I Can't Stand Still (With Vocals).mov,NOMAD-1194 - Footloose (Broadway Cast) - I Can't Stand Still.flac,flac,132.6,ok
NOMAD-1195,NOMAD-1195 - Richard Harris - Requiem/Richard Harris - Requiem (With Vocals).mov,NOMAD-1195 - Richard Harris - Requiem.flac,flac,307.9,ok
NOMAD-1196,NOMAD-1196 - Avril Lavigne - Anything but Ordinary/Avril Lavigne - Anything but Ordinary (With Vocals).mov,NOMAD-1196 - Avril Lavigne - Anything but Ordinary.flac,flac,252.0,ok
NOMAD-1197,NOMAD-1197 - Frank Turner - The Way I Tend to Be/Frank Turner - The Way I Tend to Be (With Vocals).mov,NOMAD-1197 - Frank Turner - The Way I Tend to Be.flac,flac,221.7,ok
